id_venta,id_cliente,nombre_cliente,sucursal,provincia,fecha_hora,producto,categoria,cantidad,precio_unitario,total_venta,medio_pago,promo_producto,promo_pago,otros_productos
1,2824,Benjamin Perez Diaz,Sucursal Palermo,Buenos Aires,2025-06-29 12:36:14,Caja de tornillos,Fijaciones,2.0,11937.33,23874.66,mercadopago,,,
2,2424,Amparo Paez Rodriguez,Sucursal Mendoza,Mendoza,2025-02-27 08:47:28,Taladro eléctrico,Herramientas eléctricas,1.0,5591.07,5591.07,mercadopago,10% off,,
3,7873,Martina Diaz Gimenez,Sucursal Córdoba,Córdoba,2024-09-26 19:31:40,Sierra circular,Herramientas eléctricas,5.0,14631.34,73156.7,tarjeta_débito,2x1,5% off efectivo,
4,5552,Sr(a). Thiago Agustin Quiroga,Sucursal Córdoba,Córdoba,2025-02-26 10:24:10,Llave inglesa,Herramientas manuales,3.0,6008.3,18024.9,tarjeta_débito,,,
5,5333,Tomàs Victoria Aguero,Sucursal Palermo,Buenos Aires,2025-07-08 04:47:31,Sierra circular,Herramientas eléctricas,5.0,7116.48,35582.4,mercadopago,,,
6,6925,Genaro Alma Fernandez,Sucursal Córdoba,Córdoba,2025-07-10 00:28:32,Destornillador,Herramientas manuales,1.0,33401.9,33401.9,efectivo,sin interés,,
7,7227,Santino Olivia Sosa Romero,Sucursal Rosario,Santa Fe,2024-12-28 05:42:28,Sierra circular,Herramientas eléctricas,3.0,8970.05,26910.15,efectivo,sin interés,5% off efectivo,
8,3803,Sebastian Rojas Valdez,Sucursal Córdoba,Córdoba,2025-02-10 12:23:27,Martillo,Herramientas manuales,4.0,19593.32,78373.28,efectivo,,5% off efectivo,
9,4752,Nicolas Rivero Rios,Sucursal Palermo,Buenos Aires,2025-08-17 03:53:06,Pintura látex 4L,Pinturas,4.0,14119.3,56477.2,tarjeta_crédito,10% off,3 cuotas sin interés,"Rodillo de pintura, Sierra circular"
10,5339,Dante Federico Gonzalez Martinez,Sucursal Córdoba,Córdoba,2025-01-06 21:29:09,Llave inglesa,Herramientas manuales,5.0,27409.89,137049.45,transferencia,,,
11,6930,Ian Aguero Alvarez,Sucursal Córdoba,Córdoba,2025-03-11 14:17:06,Martillo,Herramientas manuales,5.0,25182.28,125911.4,mercadopago,2x1,,Rodillo de pintura
12,2040,Mateo Benicio Carrizo Quiroga,Sucursal Mendoza,Mendoza,2025-06-08 23:19:14,Rodillo de pintura,Accesorios pintura,5.0,49809.95,249049.75,efectivo,,3 cuotas sin interés,
13,2876,Tomas Lopez Ojeda,Sucursal Rosario,Santa Fe,2024-11-18 23:12:58,Pintura látex 4L,Pinturas,1.0,15381.51,15381.51,mercadopago,10% off,,"Cinta métrica, Martillo"
14,2743,Olivia Olivera,Sucursal Rosario,Santa Fe,2025-05-23 01:25:29,Cinta métrica,Medición,5.0,10746.64,53733.2,mercadopago,sin interés,5% off efectivo,
15,1009,Sr(a). Ramiro Mansilla,Sucursal Rosario,Santa Fe,2025-07-14 21:02:17,Sierra circular,Herramientas eléctricas,1.0,,6481.52,efectivo,sin interés,3 cuotas sin interés,Guantes de trabajo
16,2403,Francisco Gonzalez Sanchez,Sucursal Mendoza,Mendoza,2024-12-29 11:43:14,Destornillador,Herramientas manuales,5.0,38525.89,192629.45,tarjeta_crédito,10% off,,
17,5342,Delfina Leiva Hernandez,Sucursal Mendoza,Mendoza,2025-01-16 17:12:18,Llave inglesa,Herramientas manuales,5.0,38007.99,190039.95,transferencia,,5% off efectivo,
18,7118,Ambar Camila Avila,Sucursal Mendoza,Mendoza,2025-03-13 17:00:14,Cinta métrica,Medición,4.0,,27716.84,mercadopago,10% off,,
19,4770,Thiago Benjamin Emma Castro,Sucursal Córdoba,Córdoba,2024-12-27 13:07:26,Taladro eléctrico,Herramientas eléctricas,1.0,35684.21,35684.21,efectivo,2x1,5% off efectivo,Pintura látex 4L
20,9423,Dr(a). Alfonsina Ruiz,Sucursal Córdoba,Córdoba,2024-12-10 16:24:44,Caja de tornillos,Fijaciones,4.0,11497.6,-45990.4,efectivo,10% off,,"Rodillo de pintura, Llave inglesa"
21,2588,Bianca Catalina Gonzalez,Sucursal Mendoza,Mendoza,2024-10-29 02:11:55,Pintura látex 4L,Pinturas,4.0,21144.01,84576.04,efectivo,,,
22,1993,Lucía Sol Flores,Sucursal Mendoza,Mendoza,2024-10-11 04:18:57,Pintura látex 4L,Pinturas,1.0,13184.16,13184.16,transferencia,10% off,,Caja de tornillos
23,5092,Olivia Franco,Sucursal Palermo,Buenos Aires,2025-04-09 23:53:52,Sierra circular,Herramientas eléctricas,5.0,5797.53,28987.65,tarjeta_crédito,,,
24,3724,Emanuel Candela Gonzalez Muñoz,Sucursal Mendoza,Mendoza,2025-06-08 06:11:45,Sierra circular,Herramientas eléctricas,4.0,11473.62,45894.48,tarjeta_débito,,,Rodillo de pintura
25,8454,Dr(a). Camilo Romero,Sucursal Rosario,Santa Fe,2025-01-08 11:48:51,Rodillo de pintura,Accesorios pintura,5.0,33431.69,167158.45,mercadopago,,5% off efectivo,Taladro eléctrico
26,9883,Mateo Gonzalez,Sucursal Palermo,Buenos Aires,2025-06-23 22:34:49,Pintura látex 4L,Pinturas,1.0,3456.97,3456.97,efectivo,,5% off efectivo,Martillo
27,2113,Emanuel Paulina Gimenez Gomez,Sucursal Córdoba,Córdoba,2025-05-17 08:24:53,Rodillo de pintura,Accesorios pintura,1.0,47138.21,47138.21,efectivo,,5% off efectivo,
28,2343,Maite Bianca Diaz Torres,Sucursal Mendoza,Mendoza,2024-11-18 05:56:27,Guantes de trabajo,Protección personal,5.0,26616.35,133081.75,tarjeta_débito,sin interés,5% off efectivo,
29,4910,Sr(a). Matias Suarez,Sucursal Rosario,Santa Fe,2024-10-29 22:52:38,Rodillo de pintura,Accesorios pintura,2.0,33912.82,67825.64,efectivo,sin interés,,
30,1152,Emiliano Ludmila Sanchez Rodriguez,Sucursal Mendoza,Mendoza,2025-08-23 11:50:14,Guantes de trabajo,Protección personal,5.0,49808.73,249043.65,tarjeta_crédito,2x1,5% off efectivo,
31,6718,Sr(a). Catalina Suarez,Sucursal Palermo,Buenos Aires,2024-10-13 09:18:07,Llave inglesa,Herramientas manuales,3.0,14964.38,44893.14,mercadopago,,3 cuotas sin interés,
32,1128,Sr(a). Valentino Herrera,Sucursal Rosario,Santa Fe,2025-04-18 00:44:08,Destornillador,Herramientas manuales,2.0,13958.83,27917.66,tarjeta_crédito,2x1,5% off efectivo,Pintura látex 4L
33,5325,Thiago Benjamin Luna Flores,Sucursal Mendoza,Mendoza,2024-12-07 18:17:49,Caja de tornillos,Fijaciones,1.0,5522.62,5522.62,tarjeta_crédito,,3 cuotas sin interés,"Martillo, Caja de tornillos"
34,8239,Sr(a). Luz Milagros Ruiz,Sucursal Mendoza,Mendoza,2025-06-04 08:46:15,Cinta métrica,Medición,1.0,6481.82,6481.82,tarjeta_débito,,5% off efectivo,
35,3426,Simon Agustina Gomez Martinez,Sucursal Mendoza,Mendoza,2025-01-25 19:22:50,Martillo,Herramientas manuales,1.0,16104.66,16104.66,tarjeta_débito,2x1,3 cuotas sin interés,Destornillador
36,7658,Salvador Martinez Diaz,Sucursal Córdoba,Córdoba,2024-10-14 01:53:53,Llave inglesa,Herramientas manuales,2.0,48834.1,97668.2,tarjeta_débito,10% off,,"Rodillo de pintura, Llave inglesa"
37,3608,Francisco Barrios Mendez,Sucursal Palermo,Buenos Aires,2024-10-14 00:37:59,Rodillo de pintura,Accesorios pintura,1.0,43071.07,43071.07,transferencia,10% off,5% off efectivo,
38,6728,Sr(a). Victoria Suarez,Sucursal Rosario,Santa Fe,2025-04-13 22:13:09,Llave inglesa,Herramientas manuales,2.0,2159.56,4319.12,efectivo,10% off,,
39,5573,Lisandro Lautaro Nicolas Silva,Sucursal Rosario,Santa Fe,2024-12-19 21:05:35,Cinta métrica,Medición,4.0,34296.39,137185.56,efectivo,,3 cuotas sin interés,
40,5279,Micaela Lopez,Sucursal Córdoba,Córdoba,2024-10-24 03:39:19,Guantes de trabajo,Protección personal,3.0,2874.6,8623.8,tarjeta_débito,,,
41,8149,Benicio Ramirez,Sucursal Palermo,Buenos Aires,2025-08-17 23:44:12,Rodillo de pintura,Accesorios pintura,5.0,10313.86,51569.3,transferencia,2x1,,Pintura látex 4L
42,2146,Felicitas Velazquez Gomez,Sucursal Rosario,Santa Fe,2025-02-19 20:53:49,Guantes de trabajo,Protección personal,3.0,33505.99,100517.97,transferencia,2x1,3 cuotas sin interés,
43,6344,Juan Santino Lopez Rojas,Sucursal Mendoza,Mendoza,2024-11-09 22:47:18,Caja de tornillos,Fijaciones,5.0,,36185.5,tarjeta_crédito,,,
44,5930,Joaquin Medina,Sucursal Mendoza,Mendoza,2025-08-22 02:59:40,Cinta métrica,Medición,1.0,15889.87,15889.87,mercadopago,10% off,,
45,6279,Simon Guzman Molina,Sucursal Mendoza,Mendoza,2024-10-06 03:42:43,Sierra circular,Herramientas eléctricas,4.0,,136422.92,tarjeta_crédito,,,
46,2389,Sr(a). León Blanco,Sucursal Rosario,Santa Fe,2025-08-12 02:36:44,Cinta métrica,Medición,5.0,17424.22,87121.1,efectivo,10% off,3 cuotas sin interés,Martillo
47,1757,Mateo Pilar Diaz,Sucursal Córdoba,Córdoba,2025-02-19 06:09:40,Sierra circular,Herramientas eléctricas,5.0,42637.15,213185.75,mercadopago,2x1,,
48,4185,Mateo Gonzalez Alvarez,Sucursal Mendoza,Mendoza,2025-09-11 07:58:08,Sierra circular,Herramientas eléctricas,4.0,12955.24,51820.96,efectivo,,,
49,7965,Emilia Quiroga,Sucursal Córdoba,Córdoba,2025-06-27 04:59:51,Martillo,Herramientas manuales,5.0,23762.94,118814.7,,,5% off efectivo,
50,8478,Dr(a). Felipe Garcia,Sucursal Córdoba,Córdoba,2024-10-09 05:17:54,Sierra circular,Herramientas eléctricas,5.0,49406.73,247033.65,transferencia,,3 cuotas sin interés,
51,9270,Sr(a). Lautaro Ezequiel Rodriguez,Sucursal Mendoza,Mendoza,2025-05-01 09:07:28,Cinta métrica,Medición,4.0,44963.2,179852.8,tarjeta_crédito,,,
52,5543,Juan Bautista Roldan,Sucursal Mendoza,Mendoza,2024-11-16 15:34:26,Llave inglesa,Herramientas manuales,3.0,22553.76,67661.28,efectivo,,3 cuotas sin interés,"Pintura látex 4L, Cinta métrica"
53,3267,Thiago Daniel Rodriguez Lopez,Sucursal Córdoba,Córdoba,2025-05-05 14:19:26,Llave inglesa,Herramientas manuales,4.0,35003.54,140014.16,transferencia,,5% off efectivo,"Pintura látex 4L, Cinta métrica"
